cal_coordsX,cal_coordsY,cal_x1,cal_x2,cal_x3,cal_x4,cal_x5,cal_y,timestamp
119.3,26.08,0.4023,357.53,0.9963,63.88,1.13,128719,2013
119.3,26.07,0.1648,299.14,0.9952,24.45,1.25,67263,2013
119.32,26.05,0.142,374.93,0.9854,187.27,2.78,45427,2013
119.45,26,0.4126,145.24,0.9741,212.15,5.63,138921,2013
119.32,26.08,0.1075,350.94,0.9534,96.88,4.74,48914,2013
119.52,25.97,0.1044,549.41,0.7572,275.07,88.22,53107,2013
119.38,25.72,0.1153,335.76,0.8825,304.7,40.58,69330,2013
119.13,26.15,0.11,449.94,0.8631,205.93,32.65,54665,2013
119.53,26.2,0.1443,342.27,0.4893,102.62,107.12,53263,2013
119.55,26.48,0.1253,141.15,0.7877,105.17,28.34,78974,2013
118.85,26.22,0.1241,38.88,0.7332,57.09,20.77,50006,2013
118.93,25.87,0.0611,62.46,0.2346,10.86,35.44,43852,2013
119.78,25.52,0.0429,335.71,0.1929,8.44,35.32,39339,2013
118.08,24.45,0.4003,206.22,0.9935,78.1,0.51,93527,2013
117.98,24.47,0.3383,240.8,0.994,276.88,1.68,137587,2013
118.08,24.52,0.2658,239.35,0.997,341,0.42,74711,2013
118.1,24.57,0.2523,279.57,0.9862,193.72,2.72,65713,2013
118.15,24.73,0.1619,159.92,0.8964,105.18,12.15,43556,2013
118.23,24.62,0.2392,211.41,0.9605,217.29,8.93,104728,2013
119,25.43,0.1635,160.24,0.8527,70.32,12.15,55504,2013
119.1,25.45,0.2469,216.15,0.9276,227.28,17.75,72455,2013
119.02,25.43,0.2087,216.15,0.8833,129.23,17.08,51419,2013
119.08,25.32,0.0604,373.97,0.7406,112.43,39.38,45603,2013
118.68,25.37,0.0903,190.65,0.7795,99.74,28.22,28630,2013
117.63,26.27,0.1589,114.33,0.9657,101.71,3.61,118343,2013
117.6,26.23,0.1435,118.52,0.8105,47.02,10.99,53167,2013
117.37,25.98,0.0838,185.05,0.843,144.04,26.83,77587,2013
117.2,26.37,0.0669,51.93,0.5702,17.26,13.01,48804,2013
116.82,26.18,0.1021,64.41,0.6366,24.51,13.99,50609,2013
116.65,26.27,0.0373,106.31,0.5464,29.49,24.48,33232,2013
117.85,25.7,0.0648,157.73,0.723,65.19,24.97,43529,2013
118.18,26.17,0.0447,134.85,0.561,54.99,43.03,44564,2013
117.78,26.4,0.0857,146.27,0.7581,77.18,24.63,72002,2013
117.47,26.73,0.0638,76.16,0.7027,35.88,15.18,59242,2013
117.17,26.9,0.0607,61.43,0.6345,24.3,14,63394,2013
116.83,26.83,0.0564,66.13,0.5235,17.84,16.24,55493,2013
118.6,24.92,0.3342,99.41,0.9992,171.49,0.13,76668,2013
118.6,24.92,0.1906,190.71,0.988,119.74,1.46,75788,2013
118.67,24.95,0.2054,60.83,0.9554,82.05,3.83,62470,2013
118.88,25.12,0.0851,136.85,0.9457,182.04,10.46,92828,2013
118.65,24.73,0.197,287.01,0.941,311.03,19.5,86614,2013
118.58,24.82,0.234,616.79,0.9785,867.7,19.07,66917,2013
118.38,24.97,0.0895,337.6,0.9462,415.3,23.61,49010,2013
118.8,25.03,0.2614,395.33,0.9246,348.35,28.39,64262,2013
118.18,25.07,0.1155,180.44,0.8478,188.28,33.81,38376,2013
118.3,25.32,0.1218,70.97,0.8639,134.15,21.14,57453,2013
118.23,25.5,0.109,67.57,0.8824,72.44,9.65,54753,2013
117.65,24.52,0.1088,136.73,0.9481,139.88,7.66,66553,2013
117.72,24.52,0.1622,135.05,0.9199,53.96,4.7,69905,2013
117.82,24.45,0.1052,303.85,0.8145,252.44,57.49,56842,2013
117.33,23.95,0.0574,115.53,0.6706,49.58,24.35,29336,2013
117.62,24.13,0.0592,185.44,0.5779,81.84,59.77,32299,2013
117.18,23.72,0.0483,111.24,0.6059,55.97,36.41,25144,2013
117.75,24.62,0.1625,201.9,0.8463,88.63,16.1,69719,2013
117.43,23.7,0.0659,117.43,0.6475,52.9,28.8,58620,2013
117.37,24.52,0.0623,136.62,0.6474,76.28,41.54,51499,2013
117.3,24.37,0.0474,96.49,0.3777,30.42,50.11,28318,2013
117.53,25.02,0.0937,95.1,0.6556,35.41,18.6,50330,2013
118.17,26.65,0.0882,130.94,0.7163,85.27,33.77,51454,2013
118.12,27.33,0.1096,193.33,0.6879,63.87,28.98,59600,2013
117.48,27.37,0.089,229.41,0.5389,25.95,22.2,47779,2013
118.03,27.77,0.0417,174.68,0.513,49.06,46.58,34887,2013
118.32,27.03,0.0598,178.68,0.6248,50.66,30.42,43019,2013
117.8,26.8,0.0735,30.83,0.5549,23.2,18.61,40125,2013
118.53,27.92,0.0465,101.07,0.5222,28.31,25.9,31726,2013
117.33,27.55,0.0556,33.66,0.4038,18.34,27.08,47308,2013
118.78,27.53,0.0634,28.38,0.4689,10.1,11.44,29721,2013
118.85,27.37,0.0623,39.89,0.5023,12.14,12.03,23305,2013
